step,month,day,hour,kwh_total,kwh_cooling,kwh_heating,kwh_fans,kwh_lights,kw_demand,base_cool_sp,base_heat_sp,mean_temp,mean_pmv,pmv_in_band,occupied,policy_reason
0,7,1,0.25,3.2193243797089544,0.0,0.0,0.0,0.26813901328740164,12.877297518835817,26.7,15.6,26.915,0.3928,0.7333,0,initial policy: unoccupied setback + precool before evening peak
1,7,1,0.5,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.331,0.4811,0.4667,0,initial policy: unoccupied setback + precool before evening peak
2,7,1,0.75,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.521,0.5285,0.2667,0,initial policy: unoccupied setback + precool before evening peak
3,7,1,1.0,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.551,0.5415,0.2667,0,initial policy: unoccupied setback + precool before evening peak
4,7,1,1.25,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.537,0.5448,0.2667,0,initial policy: unoccupied setback + precool before evening peak
5,7,1,1.5,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.532,0.5486,0.2,0,initial policy: unoccupied setback + precool before evening peak
6,7,1,1.75,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.541,0.5547,0.2,0,initial policy: unoccupied setback + precool before evening peak
7,7,1,2.0,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.551,0.5611,0.2,0,initial policy: unoccupied setback + precool before evening peak
8,7,1,2.25,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.558,0.567,0.2,0,initial policy: unoccupied setback + precool before evening peak
9,7,1,2.5,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.561,0.5723,0.2,0,initial policy: unoccupied setback + precool before evening peak
10,7,1,2.75,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.563,0.5773,0.2,0,initial policy: unoccupied setback + precool before evening peak
11,7,1,3.0,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.563,0.5824,0.2,0,initial policy: unoccupied setback + precool before evening peak
12,7,1,3.25,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.566,0.5887,0.2,0,initial policy: unoccupied setback + precool before evening peak
13,7,1,3.5,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.572,0.5955,0.2,0,initial policy: unoccupied setback + precool before evening peak
14,7,1,3.75,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.579,0.6028,0.2,0,initial policy: unoccupied setback + precool before evening peak
15,7,1,4.0,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.587,0.6104,0.2,0,initial policy: unoccupied setback + precool before evening peak
16,7,1,4.25,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.588,0.6152,0.2,0,initial policy: unoccupied setback + precool before evening peak
17,7,1,4.5,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.581,0.6183,0.2,0,initial policy: unoccupied setback + precool before evening peak
18,7,1,4.75,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.571,0.6203,0.2,0,initial policy: unoccupied setback + precool before evening peak
19,7,1,5.0,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,27.56,0.6217,0.2,0,initial policy: unoccupied setback + precool before evening peak
20,7,1,5.25,4.500698645301058,0.0,0.0,0.0,0.26813901328740164,18.00279458120423,26.7,15.6,27.586,0.6314,0.2,0,initial policy: unoccupied setback + precool before evening peak
21,7,1,5.5,4.602516648856424,0.0,0.0,0.0,0.3699570168427677,18.410066595425697,26.7,15.6,27.621,0.643,0.2,0,initial policy: unoccupied setback + precool before evening peak
22,7,1,5.75,3.26459650008065,0.0,0.0,0.0,0.3411296602480513,13.0583860003226,26.7,15.6,27.684,0.674,0.2,0,initial policy: unoccupied setback + precool before evening peak
23,7,1,6.0,3.234008439044,0.0,0.0,0.0,0.3105507216937709,12.936033756176,26.7,15.6,27.781,0.7113,0.2,0,initial policy: unoccupied setback + precool before evening peak
24,7,1,6.25,8.38636259714239,4.8295320396725,0.0,0.33558550466406534,0.297797009120921,33.54545038856956,26.7,15.6,27.295,0.6319,0.2667,0,initial policy: unoccupied setback + precool before evening peak
